AÑO,MONEDA,GIRO,NUMERO DE NIVELES,ENTIDAD,TIPO DE BIEN,COBERTURA,CAUSA DEL SINIESTRO,NUMERO DE SINIESTROS,MONTO DE SINIESTRO,GASTO DE AJUSTE,SALVAMENTO,MONTO PAGADO,MONTO DE DEDUCIBLE,MONTO COASEGURO
2015,Extranjera,"Comercio al por mayor de discos, juguetes y articulos deportivos",1,Distrito Federal,Contenidos y Edificio,Todo Riesgo,Roturas De Tuberias O Sistemas De Agua,3.0,244057.0,9487.0,16.0,265685.0,14085.0,0.0
2015,Extranjera,"Comercio al por mayor de discos, juguetes y articulos deportivos",1,Guanajuato,Contenidos y Edificio,Todo Riesgo,Roturas De Tuberias O Sistemas De Agua,1.0,-414838.0,6795.0,0.0,164944.0,50468.0,0.0
2015,Extranjera,"Comercio al por mayor de discos, juguetes y articulos deportivos",1,Nuevo Leon,Contenidos y Edificio,Todo Riesgo,Roturas De Tuberias O Sistemas De Agua,1.0,14947.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por mayor de discos, juguetes y articulos deportivos",1,Tabasco,Contenidos y Edificio,Todo Riesgo,Roturas De Tuberias O Sistemas De Agua,1.0,-370428.0,2692.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Comercio al por mayor de discos, juguetes y articulos deportivos",2,Distrito Federal,Contenidos,"Incendio, rayo y explosion",Corto Circuito / Electricidad,1.0,-1842.0,2804.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de electrodomesticos menores y aparatos d,1,Distrito Federal,Edificio,"Incendio, rayo y explosion",Falta De Suministro De Energia Electrica,1.0,-1776.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de electrodomesticos menores y aparatos d,2,Guanajuato,Edificio,"Incendio, rayo y explosion",Rayo,1.0,0.0,19108.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de maquinaria y equipo para la industria,1,Quintana Roo,Contenidos,Todo Riesgo,Rayo,1.0,-57064.0,1636.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de maquinaria y equipo para la industria,1,Nuevo Leon,Contenidos y Perdidas Consecue,Todo Riesgo,Impacto De Vehiculos,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por mayor de maquinaria y equipo para la industria,2,Jalisco,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,-34622.0,3722.0,0.0,0.0,0.0,0.0
