Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2017,4,Campeche,8,Hecelchakán,8,Tenabo,10,Guajolote,1,Carne,20.256,5.93,46.02,932.202,3416
2017,4,Campeche,8,Hecelchakán,8,Tenabo,10,Guajolote,8,Ganado en pie,26.074,7.633,26.95,702.678,0
2017,4,Campeche,8,Hecelchakán,8,Tenabo,12,Ovino,1,Carne,29.231,17.556,53.13,1553.04,1665
2017,4,Campeche,8,Hecelchakán,8,Tenabo,12,Ovino,3,Ganado en pie,57.443,34.5,26.69,1533.15,0
2017,4,Campeche,8,Hecelchakán,8,Tenabo,14,Porcino,1,Carne,147.793,74.417,45.9,6783.699,1986
2017,4,Campeche,8,Hecelchakán,8,Tenabo,14,Porcino,3,Ganado en pie,206.556,104.006,27.89,5760.847,0
2017,7,Chiapas,20,Comitán,30,Chicomuselo,1,Abeja,2,Cera,6.71,0,50,335.5,0
2017,7,Chiapas,20,Comitán,30,Chicomuselo,1,Abeja,7,Miel,135.93,0,40,5437.2,0
2017,7,Chiapas,20,Comitán,30,Chicomuselo,3,Ave,1,Carne,2357.341,1.84,33.9,79915.906,1281382
2017,7,Chiapas,20,Comitán,30,Chicomuselo,3,Ave,8,Ganado en pie,3011.399,2.35,25.91,78026.35,0
2017,7,Chiapas,20,Comitán,30,Chicomuselo,3,Ave,4,Huevo-plato,35.459,0,30.67,1087.528,0
2017,7,Chiapas,20,Comitán,30,Chicomuselo,4,Bovino,1,Carne,235.262,191.426,58.95,13869.407,1229
2017,7,Chiapas,20,Comitán,30,Chicomuselo,4,Bovino,3,Ganado en pie,444.104,361.354,30.43,13513.312,0
2017,7,Chiapas,20,Comitán,30,Chicomuselo,4,Bovino,6,Leche,146.975,0,7,1028.83,0
2017,7,Chiapas,20,Comitán,30,Chicomuselo,10,Guajolote,1,Carne,20.234,4.564,56.75,1148.251,4433
2017,7,Chiapas,20,Comitán,30,Chicomuselo,10,Guajolote,8,Ganado en pie,26.354,5.945,31.91,840.875,0
2017,7,Chiapas,20,Comitán,30,Chicomuselo,12,Ovino,1,Carne,4.438,20.358,60.6,268.94,218
