Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2018,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Abeja,7,Miel,245.320,0,46.49,11404.927,0
2018,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,1,Carne,112046.741,1.777,30.12,3374847.839,63063183
2018,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,8,Ganado en pie,145941.824,2.314,21.39,3122260.235,0
2018,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,4,Huevo-plato,2692.460,0,20.24,54495.390,0
2018,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,1,Carne,9824.073,247.657,77.44,760808.665,39668
2018,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,3,Ganado en pie,18097.359,456.221,41.83,757040.328,0
2018,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,6,Leche,102450.957,0,6.18,633528.700,0
2018,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,1,Carne,71.530,22.016,64.71,4628.505,3249
2018,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,3,Ganado en pie,136.206,41.922,33.49,4561.623,0
2018,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,1,Carne,270.530,24.374,69.50,18801.704,11099
2018,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,3,Ganado en pie,520.421,46.889,34.74,18078.888,0
2018,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,1,Carne,730.220,83.046,41.43,30252.763,8793
2018,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,3,Ganado en pie,991.281,112.735,26.97,26738.704,0
2018,1,Aguascalientes,1,Aguascalientes,2,Asientos,1,Abeja,7,Miel,43.100,0,46.48,2003.288,0
